Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Notes
!K7R011CD,Kanabis The Edit Assassin,Digital Contact,!K7 Records,"CD, Album",4,1997,342556,RAP,2016-02-18 04:41:38,
K7310CD,Tosca,Tlapa - The Odeon Remixes,!K7 Records,"CD, Album",5,2013,4843211,NO RAP,2015-01-08 11:35:03,
K7320CD,Tosca,Outta Here,!K7 Records,"CD, Album, Promo, Car",4,2014,6337758,NO RAP,2014-11-23 15:32:55,
"K7305CD, K7305DCD",Tosca,Odeon,"!K7 Records, !K7 Records","2xCD, Album, Ltd",5,2013,4203129,NO RAP,2013-09-10 22:29:09,
!K7125CD,Peace Orchestra,Reset,"!K7 Records, G-Stone Recordings","CD, Album",5,2002,90901,NO RAP,2015-01-16 03:49:05,
"PIASX 025 MCD, 940.0025.021",Inner City,Big Fun (Remixes),"[PIAS] Recordings, [PIAS] Recordings","CD, Maxi",,2003,203652,NO RAP,2015-09-02 12:41:57,
SB 2006,East Flatbush Project,First Born: Overdue,10/30 Uproar Records,"CD, Album, Dlx, Enh",5,2009,1885910,RAP,2016-09-05 13:50:42,
none,Muro,Ike's Mood R.I.P. Isaac Hayes,11154,"CD, Mixed, Promo",5,2008,2641190,Uncategorized,2014-01-24 11:40:55,
none,Muro,The Vibe Obsession,11154,"2xCD, Mixed, Promo",5,2009,4575272,Uncategorized,2014-01-24 11:43:42,
none,Muro,The B-Side Wins Again,11154,"CD, Mixed, Promo",5,2011,4658386,RAP,2013-12-30 13:21:05,
5051865102021,Ray Lamontagne,Gossip In The Grain,14th Floor Records,"CD, Album",4,2008,4793734,NO RAP,2014-04-07 16:20:25,
825646390328,Ray Lamontagne,Till The Sun Turns Black,"14th Floor Records, Echo","CD, Album",5,2006,1099308,NO RAP,2014-04-07 16:28:24,
"31454 1028 2, INTD-90328",Ugly Duckling,Fresh Mode,"1500 Records, 1500 Records","CD, EP",5,1999,241740,RAP,2012-02-08 02:05:08,
CD EDITION 025,Made In Poland,Enjoy The Solitude,2.47 Records,"CD, EP, Enh, Ltd, Num",3,2011,5432179,NO RAP,2015-05-14 14:53:32,
CD EDITION 034,Variété,Piosenki Kolonistów,2.47 Records,"CD, Album",5,2013,5137613,NO RAP,2013-11-30 08:20:11,
23HZCDME 1,Six Drummers,Music For One Apartment And Six Drummers,23Hz,"CD, Maxi",4,2001,141679,NO RAP,2013-10-07 03:43:07,
T21CD1011,Ced Gee Featuring Woozie Wooz,Long Gev,3-2-1 Records,"CD, Single, Promo",5,1998,3167766,RAP,2012-10-18 14:54:01,
96013,Sway & King Tech,Wake Up Show Freestyles Vol. 4,360 Enterprizes,CD,4,1998,584960,RAP,2014-09-12 15:23:06,
MCAD-11036,Various,Crooklyn Volume 1 - Music From The Motion Picture,"40 Acres And A Mule MusicWorks, MCA Records","CD, Album, Comp",5,1994,1624788,NO RAP,2017-10-23 06:52:52,
AD 707 CD,M|A|R|R|S,Pump Up The Volume,4AD,"CD, Maxi",5,1998,177863,NO RAP,2013-07-20 17:19:28,
BAD 9004 CD,GusGus,Starlovers,4AD,"Minimax, Single, CD1",5,1999,100128,NO RAP,2017-11-09 08:28:33,
"BAD M  707 CD, RTD 120.1860.3",M|A|R|R|S,Pump Up The Volume,"4AD, Rough Trade","CD, Maxi, Dig",5,1993,2370221,NO RAP,2012-10-26 13:29:24,
60932,Metropolitan Jazz Affair,Metropolitan Jazz Affair,4ART Music,"CD, Album, Dig",5,2003,11042312,NO RAP,2017-10-23 09:21:57,
162 444 025-2,Tony D,Droppin' Funky Verses,4th & Broadway,"CD, Album",4,1991,513070,RAP,2016-02-20 04:52:25,
162-440 590-2,Tricky,Aftermath,4th & Broadway,"CD, Single",5,1993,125992,NO RAP,2009-08-20 00:00:00,
162-444 050-2,Freestyle Fellowship,Innercity Griots,4th & Broadway,"CD, Album",5,1993,163020,RAP,2016-08-29 13:20:18,
162-444 053-2,Mobb Deep,Juvenile Hell,4th & Broadway,"CD, Album, RP",5,0,4950742,RAP,2015-03-11 10:40:44,
162-444 053-2,Mobb Deep,Juvenile Hell,4th & Broadway,"CD, Album",5,1993,4952538,RAP,2016-08-29 13:19:51,
162-531 060-2,Ronny Jordan,Light To Dark,4th & Broadway,"CD, Album",5,1996,2759743,NO RAP,2017-11-20 04:03:56,
BRCD 504,Run-DMC,King Of Rock,4th & Broadway,"CD, Album",5,1985,1452683,RAP,2016-05-09 07:46:35,
BRCD 587,Dodge City Productions,Steppin' Up & Out,4th & Broadway,"CD, Album",5,1993,2126553,Uncategorized,2016-01-15 05:15:32,
PRCD 557-2,The Disposable Heroes Of Hiphoprisy,Famous And Dandy (Like Amos 'N' Andy),4th & Broadway,"CD, Maxi, Promo",5,1992,446861,NO RAP,2009-12-21 15:04:01,
"162-440 608-2, 162-440-608-2",Yello,Tremendous Pain,"4th & Broadway, 4th & Broadway","CD, Single",5,1995,166145,NO RAP,2012-10-12 15:27:04,
"854 171-2, BRCD 304",Tricky,Overcome,"4th & Broadway, 4th & Broadway","CD, Single, Dig",5,1995,67717,NO RAP,2009-08-20 00:00:00,
"854 383-2, BRCD 326",Tricky Vs. Gravediggaz,The Hell E.P.,"4th & Broadway, 4th & Broadway","CD, EP",5,1995,67722,NO RAP,2009-08-20 00:00:00,
"BRCD 192, 878 037-2",Ice Cube,AmeriKKKa's Most Wanted,"4th & Broadway, 4th & Broadway","CD, Single",5,1990,1292574,RAP,2013-04-01 06:23:36,
